Location,Type,Pi�ces,Salles de bains,Surface,Prix
Casa Anfa, Casablanca,Appartement,2,2,100,2300000
Autre, Bouskoura,Appartement,3,3,115,1430000
Benslimane, Benslimane,Ferme,400,,400,9000000
Palmier, Casablanca,Studio,1,0,63,1230000
Boubana, Tanger,Appartement,3,3,156,2886000
Palmeraie, Marrakech,Villa,4,4,2,9000000
Hay Najah, Agadir,Terrain,0,0,990,3500000
Amelkis, Marrakech,Villa,4,3,550,5900000
Gauthier, Casablanca,Appartement,3,3,210,5000000
Palmeraie, Marrakech,Villa,4,3,2,7500000
Krimate, Casablanca,Villa,4,5,493,6500000
Guéliz, Marrakech,Appartement,2,3,84,1250000
Oued Ourika, Marrakech,Villa,5,2,321,750000
Bouskoura, Casablanca,Appartement,3,3,245,3300000
Casa Green Town, Bouskoura,Villa,3,4,490,7600000
Quartier des Hôpitaux, Casablanca,Appartement,3,2,162,1695000
Malabata, Tanger,Duplex,3,3,272,3961000
Racine extension, Casablanca,Appartement,3,3,145,3000000
Bouskoura, Casablanca,Villa,3,3,287,5600000
Beauséjour, Casablanca,Appartement,3,3,183,2100000
Californie, Casablanca,Appartement,2,2,80,1250000
Amelkis, Marrakech,Villa,5,6,500,6900000
Route d'Ourika, Marrakech,Villa,4,4,600,7500000
Marshan, Tanger,Villa,5,5,124,7500000
Guéliz, Marrakech,Appartement,3,2,114,1390000
Dar Bouazza, Casablanca,Villa,4,4,300,3550000
Bouznika, Bouznika,Villa,5,3,328,2050000
CIL, Casablanca,Appartement,3,3,213,2350000
Ain Sebaa, Casablanca,Appartement,1,1,44,506000
Targa, Marrakech,Villa,5,5,1,12000000
Ain Sebaa, Casablanca,Appartement,2,1,76,874000
Quartier des Hôpitaux, Casablanca,Appartement,3,2,163,2150000
Hay Andalous, Marrakech,Appartement,2,2,66,726000
Route de Fès, Marrakech,Villa,4,5,1,17000000
Boubana, Tanger,Villa,5,3,375,5600000
Bensergao, Agadir, Agadir,Villa,4,4,180,3300000
Boulevard Mohammed VI, Marrakech,Villa,5,5,500,4700000
Maarif, Casablanca,Appartement,3,3,137,2400000
Zerktouni, Casablanca,Appartement,3,3,173,2900000
Tilila, Agadir,Villa,4,2,307,3400000
Route de Ouarzazate, Marrakech,Terrain,0,0,25,6500000
Bni Makada, Tanger,Appartement,3,1,90,750000
Palmeraie, Marrakech,Appartement,2,2,107,1400000
Palmeraie, Marrakech,Appartement,3,3,175,2050000
