Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Fiat;Doblo;2012;30 000 - 34 999;Diesel;6;Manuelle;Non;Très bon;77000
Nissan;Juke;2019;20 000 - 24 999;Diesel;6;Manuelle;Oui;Excellent;158000
Skoda;Superb;2012;200 000 - 249 999;Diesel;8;Automatique;Non;Très bon;120000
Audi;A3;2008;200 000 - 249 999;Diesel;8;Automatique;Non;Excellent;1450000
Peugeot;308;2012;150 000 - 159 999;Diesel;6;Manuelle;Non;Très bon;92000
Skoda;Octavia;2017;95 000 - 99 999;Diesel;8;Manuelle;;Excellent;176000
Citroen;C1;2008;65 000 - 69 999;Diesel;6;Manuelle;Oui;Excellent;60000
Mercedes-Benz;Classe C;2008;150 000 - 159 999;Diesel;12;--;;;120000
Hyundai;i 30;2016;110 000 - 119 999;Diesel;6;Manuelle;Oui;Excellent;138000
Volkswagen;GOLF 5;2008;200 000 - 249 999;Diesel;8;Automatique;Oui;Très bon;95000
Volkswagen;PASSAT CC;2009;250 000 - 299 999;Diesel;8;Manuelle;Non;Bon;122000
Mercedes-Benz;220;2002;250 000 - 299 999;Diesel;9;Automatique;;Excellent;76000
Renault;Clio;2016;180 000 - 189 999;Diesel;5;Manuelle;Non;Excellent;93000
Dacia;Dokker;2020;50 000 - 54 999;Diesel;6;Manuelle;Oui;Excellent;155000
Peugeot;Partner;2016;80 000 - 84 999;Diesel;6;Manuelle;Oui;Excellent;130000
Ford;Focus;2012;0 - 4 999;Diesel;6;Manuelle;;Très bon;120000
Peugeot;2008;2019;35 000 - 39 999;Diesel;6;Manuelle;Oui;Excellent;165000
Fiat;TIPO;2019;70 000 - 74 999;Diesel;5;Manuelle;Non;Excellent;98000
Hyundai;i 40;2014;130 000 - 139 999;Diesel;7;Automatique;Oui;Excellent;160000
Renault;Megane 4;2017;110 000 - 119 999;Diesel;6;Manuelle;Oui;Excellent;188000
Volkswagen;Jetta;2016;100 000 - 109 999;Diesel;6;Automatique;Non;Excellent;160000
Volkswagen;GOLF 7;2020;30 000 - 34 999;Diesel;8;--;;;250000
Renault;Clio;2017;120 000 - 129 999;Diesel;6;Manuelle;;;97000
Ford;Fiesta;2013;110 000 - 119 999;Diesel;6;Manuelle;Non;Très bon;92000
Land Rover;Defender;1993;250 000 - 299 999;Diesel;10;Manuelle;;Bon;82000
Volkswagen;PASSAT CC;2009;200 000 - 249 999;Diesel;8;Automatique;;;150000
Renault;Kangoo;2014;180 000 - 189 999;Diesel;6;Manuelle;Oui;Très bon;95000
Suzuki;Celerio;2015;100 000 - 109 999;Essence;6;Manuelle;Non;Très bon;60000
Dacia;Dokker;2019;60 000 - 64 999;Diesel;6;Manuelle;Oui;Très bon;125000
Fiat;Panda;2016;130 000 - 139 999;Essence;5;Manuelle;;Bon;72000
